"FIPS","State abbrev","State","Grades","Enrollment type","School Year 2019-20","School Year 2020-2021","School Year 2021-22","Total change","Percent change","Notes"
1,"AL","Alabama","Kindergarten to 12th grade","Homeschool enrollment","NA","NA","NA","NA","NA",NA
1,"AL","Alabama","Kindergarten to 12th grade","Private enrollment","NA","NA","NA","NA","NA",NA
1,"AL","Alabama","Kindergarten to 12th grade","Public school enrollment","724178","716084","725894","1716","0.23695831687789401",NA
1,"AL","Alabama","Kindergarten to 12th grade","Total nonpublic enrollment (private + homeschool)","NA","NA","NA","NA","NA",NA
2,"AK","Alaska","Kindergarten to 12th grade","Homeschool enrollment","14877","28307","21977","7100","47.724675673858897",NA
2,"AK","Alaska","Kindergarten to 12th grade","Private enrollment","NA","NA","NA","NA","NA",NA
2,"AK","Alaska","Kindergarten to 12th grade","Public school enrollment","128033","126363","127017","-1016","-0.793545414072934",NA
2,"AK","Alaska","Kindergarten to 12th grade","Total nonpublic enrollment (private + homeschool)","14877","28307","21977","7100","47.724675673858897",NA
4,"AZ","Arizona","Kindergarten to 12th grade","Homeschool enrollment","NA","NA","NA","NA","NA",NA
4,"AZ","Arizona","Kindergarten to 12th grade","Private enrollment","NA","NA","NA","NA","NA",NA
4,"AZ","Arizona","Kindergarten to 12th grade","Public school enrollment","1130693","1098017","1116643","-14050","-1.2426007766918099",NA
4,"AZ","Arizona","Kindergarten to 12th grade","Total nonpublic enrollment (private + homeschool)","NA","NA","NA","NA","NA",NA
5,"AR","Arkansas","Preschool to 12th grade","Homeschool enrollment","22249","30267","29118","6869","30.873297676300002",NA
5,"AR","Arkansas","Preschool to 12th grade","Private enrollment","19877","20202","15484","-4393","-22.100920662071701",NA
5,"AR","Arkansas","Kindergarten to 12th grade","Public school enrollment","479432","473004","473861","-5571","-1.16200003337282",NA
5,"AR","Arkansas","Preschool to 12th grade","Total nonpublic enrollment (private + homeschool)","42126","50469","44602","2476","5.8776052793998899",NA
6,"CA","California","Kindergarten to 12th grade","Homeschool enrollment","38532","59275","52628","14096","36.582580712135297",NA
6,"CA","California","Kindergarten to 12th grade","Private enrollment","488984","471653","498486","9502","1.94321286586064",NA
6,"CA","California","Kindergarten to 12th grade","Public school enrollment","6163001","6002392","5892073","-270928","-4.3960401758818399",NA
6,"CA","California","Kindergarten to 12th grade","Total nonpublic enrollment (private + homeschool)","527516","530928","551114","23598","4.4734188157326003",NA
8,"CO","Colorado","Kindergarten to 12th grade","Homeschool enrollment","7880","15773","10502","2622","33.274111675126903",NA
8,"CO","Colorado","Kindergarten to 12th grade","Private enrollment","34409","33080","34916","507","1.4734517132145599",NA
8,"CO","Colorado","Kindergarten to 12th grade","Public school enrollment","878798","856783","855623","-23175","-2.6371248",NA
8,"CO","Colorado","Kindergarten to 12th grade","Total nonpublic enrollment (private + homeschool)","42289","48853","45418","3129","7.3990872330866102",NA
9,"CT","Connecticut","Kindergarten to 12th grade","Homeschool enrollment","NA","NA","NA","NA","NA",NA
9,"CT","Connecticut","Kindergarten to 12th grade","Private enrollment","48717","47016","46853","-1864","-3.8261797729745202",NA
9,"CT","Connecticut","Kindergarten to 12th grade","Public school enrollment","505210","494006","491105","-14105","-2.7919083153540099",NA
9,"CT","Connecticut","Kindergarten to 12th grade","Total nonpublic enrollment (private + homeschool)","48717","47016","46853","-1864","-3.8261797729745202",NA
10,"DE","Delaware","Kindergarten to 12th grade","Homeschool enrollment","3102","4950","4859","1757","56.640876853642801",NA
10,"DE","Delaware","Kindergarten to 12th grade","Private enrollment","15074","15829","15630","556","3.68847021361284",NA
10,"DE","Delaware","Kindergarten to 12th grade","Public school enrollment","137716","135993","136187","-1529","-1.11025588893084",NA
10,"DE","Delaware","Kindergarten to 12th grade","Total nonpublic enrollment (private + homeschool)","18176","20779","20489","2313","12.7255721830985",NA
11,"DC","District of Columbia","Kindergarten to 12th grade","Homeschool enrollment","389","803","1159","770","197.943444730077",NA
11,"DC","District of Columbia","Kindergarten to 12th grade","Private enrollment","15107","17027","16220","1113","7.3674455550406996",NA
11,"DC","District of Columbia","Kindergarten to 12th grade","Public school enrollment","76990","77937","77460","470","0.61046889206390398",NA
11,"DC","District of Columbia","Kindergarten to 12th grade","Total nonpublic enrollment (private + homeschool)","15496","17830","17379","1883","12.1515229736706",NA
12,"FL","Florida","Kindergarten to 12th grade","Homeschool enrollment","106115","143431","152109","45994","43.343542383263397",NA
12,"FL","Florida","Kindergarten to 12th grade","Private enrollment","352821","331572","374962","22141","6.2754201138821104",NA
12,"FL","Florida","Kindergarten to 12th grade","Public school enrollment","2792884","2741297","2774130","-18754","-0.67149226391071004",NA
12,"FL","Florida","Kindergarten to 12th grade","Total nonpublic enrollment (private + homeschool)","458936","475003","527071","68135","14.8462966513849",NA
13,"GA","Georgia","Kindergarten to 12th grade","Homeschool enrollment","77993","86268","91142","13149","16.859205313297299",NA
13,"GA","Georgia","Kindergarten to 12th grade","Private enrollment","98638","97240","100246","1608","1.6302033698980101",NA
13,"GA","Georgia","Kindergarten to 12th grade","Public school enrollment","1719609","1686367","1694034","-25575","-1.4872566961442899",NA
13,"GA","Georgia","Kindergarten to 12th grade","Total nonpublic enrollment (private + homeschool)","176631","183508","191388","14757","8.3547055726344706",NA
15,"HI","Hawaii","Kindergarten to 12th grade","Homeschool enrollment","3303","6232","5309","2006","60.732667272176798","Only includes homeschool students newly acknowledged by school"
15,"HI","Hawaii","Kindergarten to 12th grade","Private enrollment","30492","30016","31018","526","1.7250426341335401",NA
15,"HI","Hawaii","Kindergarten to 12th grade","Public school enrollment","179331","174704","171600","-7731","-4.3110226341234901",NA
15,"HI","Hawaii","Kindergarten to 12th grade","Total nonpublic enrollment (private + homeschool)","33795","36248","36327","2532","7.49223257878384",NA
16,"ID","Idaho","Kindergarten to 12th grade","Homeschool enrollment","NA","NA","NA","NA","NA",NA
16,"ID","Idaho","Kindergarten to 12th grade","Private enrollment","NA","NA","NA","NA","NA",NA
16,"ID","Idaho","Kindergarten to 12th grade","Public school enrollment","307412","304337","310737","3325","1.08161034702614",NA
16,"ID","Idaho","Kindergarten to 12th grade","Total nonpublic enrollment (private + homeschool)","NA","NA","NA","NA","NA",NA
17,"IL","Illinois","Preschool to 12th grade","Homeschool enrollment","NA","NA","NA","NA","NA",NA
17,"IL","Illinois","Preschool to 12th grade","Private enrollment","193574","176944","190123","-3451","-1.78278074534803",NA
17,"IL","Illinois","Kindergarten to 12th grade","Public school enrollment","1865886","1823359","1797260","-68626","-3.67793102043747",NA
17,"IL","Illinois","Preschool to 12th grade","Total nonpublic enrollment (private + homeschool)","193574","176944","190123","-3451","-1.78278074534803",NA
18,"IN","Indiana","Kindergarten to 12th grade","Homeschool enrollment","11909","20888","NA","NA","NA","Only includes students withdrawing from public school that year"
18,"IN","Indiana","Kindergarten to 12th grade","Private enrollment","76976","73329","76360","-616","-0.80024942839326496",NA
18,"IN","Indiana","Kindergarten to 12th grade","Public school enrollment","1030417","1017039","1015440","-14977","-1.45348921844263",NA
18,"IN","Indiana","Kindergarten to 12th grade","Total nonpublic enrollment (private + homeschool)","88885","94217","76360","-12525","-14.0912414918152",NA
19,"IA","Iowa","Kindergarten to 12th grade","Homeschool enrollment","7188","8831","7707","519","7.2203672787979896","Only includes homeschool students involved with the district somehow (e.g. take state standardized tests)"
19,"IA","Iowa","Kindergarten to 12th grade","Private enrollment","32887","30729","33304","417","1.2679782284793299",NA
19,"IA","Iowa","Kindergarten to 12th grade","Public school enrollment","485856","479264","481250","-4606","-0.94801751959428304",NA
19,"IA","Iowa","Kindergarten to 12th grade","Total nonpublic enrollment (private + homeschool)","40075","39560","41011","936","2.3356207111665599",NA
20,"KS","Kansas","Kindergarten to 12th grade","Homeschool enrollment","NA","NA","NA","NA","NA",NA
20,"KS","Kansas","Kindergarten to 12th grade","Private enrollment","26516","25786","26346","-170","-0.64112234122793699",NA
20,"KS","Kansas","Kindergarten to 12th grade","Public school enrollment","474404","462239","462879","-11525","-2.4293640019898599",NA
20,"KS","Kansas","Kindergarten to 12th grade","Total nonpublic enrollment (private + homeschool)","26516","25786","26346","-170","-0.64112234122793699",NA
21,"KY","Kentucky","Kindergarten to 12th grade","Homeschool enrollment","24528","27013","35233","10705","43.643998695368502",NA
21,"KY","Kentucky","Kindergarten to 12th grade","Private enrollment","NA","NA","NA","NA","NA",NA
21,"KY","Kentucky","Kindergarten to 12th grade","Public school enrollment","659919","638551","631019","-28900","-4.3793253414434101",NA
21,"KY","Kentucky","Kindergarten to 12th grade","Total nonpublic enrollment (private + homeschool)","24528","27013","35233","10705","43.643998695368502",NA
22,"LA","Louisiana","Kindergarten to 12th grade","Homeschool enrollment","31650","33221","35222","3572","11.285939968404399","Interpret with caution (see ReadMe note)"
22,"LA","Louisiana","Kindergarten to 12th grade","Private enrollment","110742","104925","107489","-3253","-2.9374582362608499","Interpret with caution (see ReadMe note)"
22,"LA","Louisiana","Kindergarten to 12th grade","Public school enrollment","683454","669959","658407","-25047","-3.6647674898383702",NA
22,"LA","Louisiana","Kindergarten to 12th grade","Total nonpublic enrollment (private + homeschool)","142392","138146","142711","319","0.22402943985617099",NA
23,"ME","Maine","Kindergarten to 12th grade","Homeschool enrollment","6774","12044","10871","4097","60.481251845290799",NA
23,"ME","Maine","Kindergarten to 12th grade","Private enrollment","NA","NA","NA","NA","NA",NA
23,"ME","Maine","Kindergarten to 12th grade","Public school enrollment","174136","167728","167624","-6512","-3.7396058253319202",NA
23,"ME","Maine","Kindergarten to 12th grade","Total nonpublic enrollment (private + homeschool)","6774","12044","10871","4097","60.481251845290799",NA
24,"MD","Maryland","Kindergarten to 12th grade","Homeschool enrollment","NA","NA","NA","NA","NA",NA
24,"MD","Maryland","Kindergarten to 12th grade","Private enrollment","95423","98180","97900","2477","2.5958102344298499",NA
24,"MD","Maryland","Kindergarten to 12th grade","Public school enrollment","877201","858911","853694","-23507","-2.67977350687014",NA
24,"MD","Maryland","Kindergarten to 12th grade","Total nonpublic enrollment (private + homeschool)","95423","98180","97900","2477","2.5958102344298499",NA
25,"MA","Massachusetts","Kindergarten to 12th grade","Homeschool enrollment","7802","17127","13090","5288","67.777492950525499",NA
25,"MA","Massachusetts","Kindergarten to 12th grade","Private enrollment","61610","71734","72450","10840","17.594546339879798",NA
25,"MA","Massachusetts","Kindergarten to 12th grade","Public school enrollment","928657","900430","893364","-35293","-3.8004343907384501",NA
25,"MA","Massachusetts","Kindergarten to 12th grade","Total nonpublic enrollment (private + homeschool)","69412","88861","85540","16128","23.2351754739814",NA
26,"MI","Michigan","Kindergarten to 12th grade","Homeschool enrollment","581","1487","717","136","23.407917383820902","Homeschool registration not required, numbers are likely a large undercount."
26,"MI","Michigan","Kindergarten to 12th grade","Private enrollment","92426","88961","90976","-1450","-1.5688226256680999",NA
26,"MI","Michigan","Kindergarten to 12th grade","Public school enrollment","1448311","1402284","1396620","-51691","-3.5690538841450401",NA
26,"MI","Michigan","Kindergarten to 12th grade","Total nonpublic enrollment (private + homeschool)","93007","90448","91693","-1314","-1.41279688625587",NA
27,"MN","Minnesota","Kindergarten to 12th grade","Homeschool enrollment","20701","30955","27801","7100","34.297860006762903",NA
27,"MN","Minnesota","Kindergarten to 12th grade","Private enrollment","65657","66138","69971","4314","6.5705103797005604",NA
27,"MN","Minnesota","Kindergarten to 12th grade","Public school enrollment","867999","850765","848619","-19380","-2.2327214662689698",NA
27,"MN","Minnesota","Kindergarten to 12th grade","Total nonpublic enrollment (private + homeschool)","86358","97093","97772","11414","13.2170731142453",NA
28,"MS","Mississippi","Kindergarten to 12th grade","Homeschool enrollment","18798","25780","23362","4564","24.279178636025101",NA
28,"MS","Mississippi","Kindergarten to 12th grade","Private enrollment","NA","NA","NA","NA","NA",NA
28,"MS","Mississippi","Kindergarten to 12th grade","Public school enrollment","458841","436614","434401","-24440","-5.3264638513123197",NA
28,"MS","Mississippi","Kindergarten to 12th grade","Total nonpublic enrollment (private + homeschool)","18798","25780","23362","4564","24.279178636025101",NA
29,"MO","Missouri","Kindergarten to 12th grade","Homeschool enrollment","6708","13785","9177","2469","36.806797853309398",NA
29,"MO","Missouri","Kindergarten to 12th grade","Private enrollment","NA","NA","NA","NA","NA",NA
29,"MO","Missouri","Kindergarten to 12th grade","Public school enrollment","876357","855198","858017","-18340","-2.0927544368333901",NA
29,"MO","Missouri","Kindergarten to 12th grade","Total nonpublic enrollment (private + homeschool)","6708","13785","9177","2469","36.806797853309398",NA
30,"MT","Montana","Kindergarten to 12th grade","Homeschool enrollment","5815","9868","7368","1553","26.706792777299999",NA
30,"MT","Montana","Kindergarten to 12th grade","Private enrollment","7845","7600","8634","789","10.057361376673001",NA
30,"MT","Montana","Kindergarten to 12th grade","Public school enrollment","148009","144685","148624","615","0.41551527271990202",NA
30,"MT","Montana","Kindergarten to 12th grade","Total nonpublic enrollment (private + homeschool)","13660","17468","16002","2342","17.1449487554904",NA
31,"NE","Nebraska","Kindergarten to 12th grade","Homeschool enrollment","9452","14780","13765","4313","45.630554380025302",NA
31,"NE","Nebraska","Kindergarten to 12th grade","Private enrollment","33725","32316","33028","-697","-2.0667160859896199",NA
31,"NE","Nebraska","Kindergarten to 12th grade","Public school enrollment","310523","306911","308505","-2018","-0.64987134608386499",NA
31,"NE","Nebraska","Kindergarten to 12th grade","Total nonpublic enrollment (private + homeschool)","43177","47096","46793","3616","8.3748291914676791",NA
32,"NV","Nevada","Kindergarten to 12th grade","Homeschool enrollment","NA","NA","NA","NA","NA",NA
32,"NV","Nevada","Kindergarten to 12th grade","Private enrollment","19325","19427","20893","1568","8.1138421733505801",NA
32,"NV","Nevada","Kindergarten to 12th grade","Public school enrollment","484890","472949","475855","-9035","-1.8633092041493899",NA
32,"NV","Nevada","Kindergarten to 12th grade","Total nonpublic enrollment (private + homeschool)","19325","19427","20893","1568","8.1138421733505801",NA
33,"NH","New Hampshire","Kindergarten to 12th grade","Homeschool enrollment","2955","6110","4185","1230","41.6243654822335",NA
33,"NH","New Hampshire","Kindergarten to 12th grade","Private enrollment","14426","14980","15926","1500","10.3978926937474",NA
33,"NH","New Hampshire","Kindergarten to 12th grade","Public school enrollment","172779","166015","166095","-6684","-3.8685256888858",NA
33,"NH","New Hampshire","Kindergarten to 12th grade","Total nonpublic enrollment (private + homeschool)","17381","21090","20111","2730","15.7068062827225",NA
34,"NJ","New Jersey","Kindergarten to 12th grade","Homeschool enrollment","1786","7210","7755","5969","334.21052631578902","Data only includes students who left the public school system that school year."
34,"NJ","New Jersey","Kindergarten to 12th grade","Private enrollment","148678","148215","152311","3633","2.4435356945883",NA
34,"NJ","New Jersey","Kindergarten to 12th grade","Public school enrollment","1343638","1317397","1306871","-36767","-2.7363769110430001",NA
34,"NJ","New Jersey","Kindergarten to 12th grade","Total nonpublic enrollment (private + homeschool)","150464","155425","160066","9602","6.3815929391748201",NA
35,"NM","New Mexico","Kindergarten to 12th grade","Homeschool enrollment","9774","15645","11522","1748","17.8841825250665","Interpret with caution (see ReadMe note)"
35,"NM","New Mexico","Kindergarten to 12th grade","Private enrollment","NA","NA","NA","NA","NA",NA
35,"NM","New Mexico","Kindergarten to 12th grade","Public school enrollment","320719","308467","307505","-13214","-4.1201176107433604",NA
35,"NM","New Mexico","Kindergarten to 12th grade","Total nonpublic enrollment (private + homeschool)","9774","15645","11522","1748","17.8841825250665",NA
36,"NY","New York","Kindergarten to 12th grade","Homeschool enrollment","33013","52052","54414","21401","64.825977645169999",NA
36,"NY","New York","Kindergarten to 12th grade","Private enrollment","390779","382644","382510","-8269","-2.1160297764209401",NA
36,"NY","New York","Kindergarten to 12th grade","Public school enrollment","2615760","2545847","2483362","-132398","-5.0615499892956501",NA
36,"NY","New York","Kindergarten to 12th grade","Total nonpublic enrollment (private + homeschool)","423792","434696","436924","13132","3.09868992335862",NA
37,"NC","North Carolina","Kindergarten to 12th grade","Homeschool enrollment","149173","179900","160528","11355","7.6119673131196599",NA
37,"NC","North Carolina","Kindergarten to 12th grade","Private enrollment","103959","107341","115311","11352","10.919689492973101",NA
37,"NC","North Carolina","Kindergarten to 12th grade","Public school enrollment","1536154","1493730","1502068","-34086","-2.2189181553411901",NA
37,"NC","North Carolina","Kindergarten to 12th grade","Total nonpublic enrollment (private + homeschool)","253132","287241","275839","22707","8.9704185958314202",NA
38,"ND","North Dakota","Kindergarten to 12th grade","Homeschool enrollment","3443","4657","4247","804","23.351728144060399",NA
38,"ND","North Dakota","Kindergarten to 12th grade","Private enrollment","8353","8296","8463","110","1.31689213456243",NA
38,"ND","North Dakota","Kindergarten to 12th grade","Public school enrollment","113056","112173","114027","971","0.85886640249080104",NA
38,"ND","North Dakota","Kindergarten to 12th grade","Total nonpublic enrollment (private + homeschool)","11796","12953","12710","914","7.7483892845032196",NA
39,"OH","Ohio","Kindergarten to 12th grade","Homeschool enrollment","33328","51502","NA","NA","NA",NA
39,"OH","Ohio","Kindergarten to 12th grade","Private enrollment","166189","162917","167395","1206","0.72567979830193297",NA
39,"OH","Ohio","Kindergarten to 12th grade","Public school enrollment","1647478","1615166","1612524","-34954","-2.1216671785601902",NA
39,"OH","Ohio","Kindergarten to 12th grade","Total nonpublic enrollment (private + homeschool)","199517","214419","167395","-32122","-16.099881213129699",NA
40,"OK","Oklahoma","Kindergarten to 12th grade","Homeschool enrollment","NA","NA","NA","NA","NA",NA
40,"OK","Oklahoma","Kindergarten to 12th grade","Private enrollment","NA","NA","NA","NA","NA",NA
40,"OK","Oklahoma","Kindergarten to 12th grade","Public school enrollment","661816","656951","660660","-1156","-0.174670905508479",NA
40,"OK","Oklahoma","Kindergarten to 12th grade","Total nonpublic enrollment (private + homeschool)","NA","NA","NA","NA","NA",NA
41,"OR","Oregon","Kindergarten to 12th grade","Homeschool enrollment","17971","30969","29162","11191","62.272550219798497",NA
41,"OR","Oregon","Kindergarten to 12th grade","Private enrollment","NA","NA","NA","NA","NA",NA
41,"OR","Oregon","Kindergarten to 12th grade","Public school enrollment","582661","560917","553012","-29649","-5.0885506323573999",NA
41,"OR","Oregon","Kindergarten to 12th grade","Total nonpublic enrollment (private + homeschool)","17971","30969","29162","11191","62.272550219798497",NA
42,"PA","Pennsylvania","Kindergarten to 12th grade","Homeschool enrollment","25979","41483","39847","13868","53.381577427922501",NA
42,"PA","Pennsylvania","Kindergarten to 12th grade","Private enrollment","199227","203322","211201","11974","6.0102295371611199",NA
42,"PA","Pennsylvania","Kindergarten to 12th grade","Public school enrollment","1716712","1690712","1684018","-32694","-1.90445456197661",NA
42,"PA","Pennsylvania","Kindergarten to 12th grade","Total nonpublic enrollment (private + homeschool)","225206","244805","251048","25842","11.474827491274599",NA
44,"RI","Rhode Island","Kindergarten to 12th grade","Homeschool enrollment","1931","3391","3181","1250","64.733298808907307",NA
44,"RI","Rhode Island","Kindergarten to 12th grade","Private enrollment","11167","8053","14727","3560","31.879645383719801",NA
44,"RI","Rhode Island","Kindergarten to 12th grade","Public school enrollment","140549","136908","135732","-4817","-3.4272744736710998",NA
44,"RI","Rhode Island","Kindergarten to 12th grade","Total nonpublic enrollment (private + homeschool)","13098","11444","17908","4810","36.723163841807903",NA
45,"SC","South Carolina","Kindergarten to 12th grade","Homeschool enrollment","20611","29927","30474","9863","47.853088156809399",NA
45,"SC","South Carolina","Kindergarten to 12th grade","Private enrollment","36703","33492","37311","608","1.6565403373021199",NA
45,"SC","South Carolina","Kindergarten to 12th grade","Public school enrollment","758809","745817","755629","-3180","-0.41907779164453701",NA
45,"SC","South Carolina","Kindergarten to 12th grade","Total nonpublic enrollment (private + homeschool)","57314","63419","67785","10471","18.2695327494155",NA
46,"SD","South Dakota","Kindergarten to 12th grade","Homeschool enrollment","5342","6698","8187","2845","53.257207038562299",NA
46,"SD","South Dakota","Kindergarten to 12th grade","Private enrollment","15468","14547","14531","-937","-6.0576674424618497",NA
46,"SD","South Dakota","Kindergarten to 12th grade","Public school enrollment","136637","136390","137943","1306","0.95581723837613497",NA
46,"SD","South Dakota","Kindergarten to 12th grade","Total nonpublic enrollment (private + homeschool)","20810","21245","22718","1908","9.1686689091782796",NA
47,"TN","Tennessee","Kindergarten to 12th grade","Homeschool enrollment","11395","17078","13642","2247","19.719175076788002",NA
47,"TN","Tennessee","Kindergarten to 12th grade","Private enrollment","79590","87360","98452","18862","23.6989571554215",NA
47,"TN","Tennessee","Kindergarten to 12th grade","Public school enrollment","981321","958749","967278","-14043","-1.4310302133552599",NA
47,"TN","Tennessee","Kindergarten to 12th grade","Total nonpublic enrollment (private + homeschool)","90985","104438","112094","21109","23.200527559487799",NA
48,"TX","Texas","Kindergarten to 12th grade","Homeschool enrollment","NA","29846","NA","NA","NA","Only includes students who left for homeschool that school year."
48,"TX","Texas","Kindergarten to 12th grade","Private enrollment","235590","NA","268752","33162","14.0761492423277",NA
48,"TX","Texas","Kindergarten to 12th grade","Public school enrollment","5220228","5154686","5183478","-36750","-0.70399223941942701",NA
48,"TX","Texas","Kindergarten to 12th grade","Total nonpublic enrollment (private + homeschool)","235590","29846","268752","33162","14.0761492423277",NA
49,"UT","Utah","Kindergarten to 12th grade","Homeschool enrollment","NA","NA","NA","NA","NA",NA
49,"UT","Utah","Kindergarten to 12th grade","Private enrollment","NA","NA","NA","NA","NA",NA
49,"UT","Utah","Kindergarten to 12th grade","Public school enrollment","667947","666563","674892","6945","1.0397531540676099",NA
49,"UT","Utah","Kindergarten to 12th grade","Total nonpublic enrollment (private + homeschool)","NA","NA","NA","NA","NA",NA
50,"VT","Vermont","Kindergarten to 12th grade","Homeschool enrollment","2588","5504","4174","1586","61.282843894899543",NA
50,"VT","Vermont","Kindergarten to 12th grade","Private enrollment","NA","8616","8966","NA","NA",NA
50,"VT","Vermont","Kindergarten to 12th grade","Public school enrollment","78087","75715","76415","-1672","-2.1412014804000665",NA
50,"VT","Vermont","Kindergarten to 12th grade","Total nonpublic enrollment (private + homeschool)","2588","14120","13140","NA","NA",NA
51,"VA","Virginia","Kindergarten to 12th grade","Homeschool enrollment","38282","59638","55749","17467","45.627187712240698","Data does not count students who have religious exemption from school."
51,"VA","Virginia","Kindergarten to 12th grade","Private enrollment","NA","NA","NA","NA","NA",NA
51,"VA","Virginia","Kindergarten to 12th grade","Public school enrollment","1262591","1223612","1218369","-44222","-3.5024802172674998",NA
51,"VA","Virginia","Kindergarten to 12th grade","Total nonpublic enrollment (private + homeschool)","38282","59638","55749","17467","45.627187712240698",NA
53,"WA","Washington","Kindergarten to 12th grade","Homeschool enrollment","20844","39843","32056","11212","53.790059489541299",NA
53,"WA","Washington","Kindergarten to 12th grade","Private enrollment","73608","74856","88058","14450","19.6310183675687",NA
53,"WA","Washington","Kindergarten to 12th grade","Public school enrollment","1107745","1069970","1070302","-37443","-3.3801100433764",NA
53,"WA","Washington","Kindergarten to 12th grade","Total nonpublic enrollment (private + homeschool)","94452","114699","120114","25662","27.1693558632956",NA
54,"WV","West Virginia","Kindergarten to 12th grade","Homeschool enrollment","NA","NA","NA","NA","NA",NA
54,"WV","West Virginia","Kindergarten to 12th grade","Private enrollment","11248","11241","11769","521","4.6319345661450901",NA
54,"WV","West Virginia","Kindergarten to 12th grade","Public school enrollment","246803","241079","238404","-8399","-3.4031190868830601",NA
54,"WV","West Virginia","Kindergarten to 12th grade","Total nonpublic enrollment (private + homeschool)","11248","11241","11769","521","4.6319345661450901",NA
55,"WI","Wisconsin","Kindergarten to 12th grade","Homeschool enrollment","21644","31878","29402","7758","35.843651820365899",NA
55,"WI","Wisconsin","Kindergarten to 12th grade","Private enrollment","114752","114508","116969","2217","1.93199247071946",NA
55,"WI","Wisconsin","Kindergarten to 12th grade","Public school enrollment","799062","782940","778151","-20911","-2.6169433660967401",NA
55,"WI","Wisconsin","Kindergarten to 12th grade","Total nonpublic enrollment (private + homeschool)","136396","146386","146371","9975","7.3132643186017097",NA
56,"WY","Wyoming","Kindergarten to 12th grade","Homeschool enrollment","2585","3884","3475","890","34.429400386847199",NA
56,"WY","Wyoming","Kindergarten to 12th grade","Private enrollment","NA","NA","NA","NA","NA",NA
56,"WY","Wyoming","Kindergarten to 12th grade","Public school enrollment","94214","92099","92329","-1885","-2.0007642176321898",NA
56,"WY","Wyoming","Kindergarten to 12th grade","Total nonpublic enrollment (private + homeschool)","2585","3884","3475","890","34.429400386847199",NA
